id_produk,nama_kategori,stok_awal,stok_akhir,stok_in,stok_out,produk_satuan,produk_minimum_stok,produk_status,bulan_sekarang,nama_produk
1,AMPLOP,5,5,0,0,PAK,1,CUKUP,2025-08-01,AMPLOP COKLAT KOP SN 1 FOLIO
2,AMPLOP,1,0,0,1,PAK,1,NEED ORDER,2025-08-01,AMPLOP COKLAT POLOS 1 FOLIO
3,AMPLOP,4,4,0,0,PAK,0,CUKUP,2025-08-01,AMPLOP COKLAT POLOS 10x24
4,AMPLOP,5,5,0,0,PAK,0,CUKUP,2025-08-01,AMPLOP COKLAT POLOS 12x28
5,AMPLOP,3,3,0,0,PAK,1,CUKUP,2025-08-01,AMPLOP COKLAT POLOS 18x28
6,AMPLOP,7,6,0,1,PAK,1,CUKUP,2025-08-01,AMPLOP KOP SN 1/3 FOLIO
7,AMPLOP,6,5,0,1,PAK,1,CUKUP,2025-08-01,AMPLOP POLOS 1/3 FOLIO
8,AMPLOP,5,5,0,0,PAK,1,CUKUP,2025-08-01,AMPLOP COKLAT KOP SN 18x28
9,AMPLOP,1,1,0,0,PAK,0,CUKUP,2025-08-01,AMPLOP COKLAT POLOS E100 28x40
10,BINDER CLIP,16,25,12,3,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.105
11,BINDER CLIP,24,21,0,3,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.107
12,BINDER CLIP,11,11,0,0,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.111
13,BINDER CLIP,18,17,0,1,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.155
14,BINDER CLIP,10,12,6,4,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.200
15,BINDER CLIP,7,7,0,0,PAK,2,CUKUP,2025-08-01,BINDER CLIPS UK.260
16,BOLPOINT & STIPO,121,221,144,44,PCS,24,CUKUP,2025-08-01,BOLPOINT ZEBRA PICCOLO
17,BOLPOINT & STIPO,13,13,0,0,PCS,0,CUKUP,2025-08-01,BOLPOINT BIRU
