id_part,id_kategori_part,nama_part
1,10,ACCU GS HYBRID NS60,,,,
2,10,ACCU GS HYBRID NS70,,,,
3,1,AIR ACCU 1 LITER,,,,
4,1,AIR COOLANT RADIATOR 1 LITER,,,,
5,2,ALAT PENGONTROL TEKANAN BAN,,,,
6,2,ALAT TEMBAK LEM SEALANT,,,,
7,2,AMPLAS / KERTAS GOSOK,,,,
8,10,ANGKER TRTN,,,,
9,4,BALL JOINT ATAS 555 L300,,,,
10,4,BALL JOINT BAWAH 555 L300,,,,
11,4,BALL JOINT TIE ROAD CNTR,,,,
12,3,BAN DALAM 700.16 AKS,,,,
13,3,BAN DALAM 700.16 AKS + MARSET,,,,
14,3,BAN DALAM 700.16 GP,,,,
15,3,BAN DALAM 700.16 GT,,,,
16,3,BAN DALAM 900.20 AKS,,,,
17,3,BAN DALAM 900.20 MLM,,,,
18,3,BAN DALAM R.13,,,,
19,3,BAN DALAM R.14,,,,
20,3,BAN DALAM R.16,,,,
21,3,BAN DALAM R.20,,,,
22,3,BAN LUAR 1000.20 BS,,,,
23,3,BAN LUAR 185.14 PR GT,,,,
24,3,BAN LUAR 750.16 BS,,,,
25,3,BAN LUAR 825.16 AKS,,,,
26,3,BAN LUAR 825.16 PR SWL,,,,
27,3,BAN VULKANISIR 1000.20,,,,
28,3,BAUT BAN CNTR,,,,
29,5,BAUT JOINT CNTR,,,,
30,5,BAUT RODA BELAKANG CNTR,,,,
31,5,BAUT RODA BELAKANG TRTN,,,,
32,5,BAUT RODA CNTR,,,,
33,5,BAUT RODA TRTN,,,,
34,5,BAUT STABIL DING DONG TRTN,,,,
35,5,BAUT TUTUP RUMAH BOGGIE TRTN,,,,
36,10,BEHEL TRTN,,,,
37,10,BELLKRANG SP7160 555 L300,,,,
38,10,BESI UNP 80 x 6 METER,,,,
39,5,BOSH PER DEPAN TRTN,,,,
40,4,BUSH BOGGIE BESAR TRTN,,,,
41,4,BUSHING IDEL ARM L300,,,,
42,10,BUSI PEMANAS FRKLFT,,,,
43,10,CARBON CLEANER,,,,
44,1,CAT AQUAPROOF 1 KG,,,,
45,1,CAT BESI 1 KG,,,,
46,1,CAT NO DROP 1 KG,,,,
47,10,CENTER BEARING CNTR,,,,
48,10,CENTER BEARING LOHAN,,,,
49,6,COVER JOK TRTN,,,,
50,4,CRANKSHAFT ( AS KRUK ) EURO 260,,,,
51,4,CRANKSHAFT CUP EURO 260,,,,
52,4,CYLINDER BLOK SENTER TRTN,,,,
53,4,CYLINDER REM DEPAN CNTR,,,,
54,10,DOOR LOCK ASSY LOHAN,,,,
55,10,DRAG LINK CNTR,,,,
56,7,ELECTRICAL CONTACT CLEANER X-REIN 5710,,,,
57,4,ENGINE MOUNTING TRTN,,,,
58,10,FANBELT CNTR,,,,
59,1,FILTER OLI CNTR ASPIRA,,,,
60,1,FILTER OLI CNTR ME013307,,,,
61,1,FILTER OLI GRDMX,,,,
62,1,FILTER OLI HOP,,,,
63,1,FILTER OLI L300,,,,
64,1,FILTER OLI TOYOTA BZ030 GRDMX,,,,
65,1,FILTER OLI TRTN C6102,,,,
66,11,FILTER SOLAR ATAS CNTR ME035829,,,,
67,11,FILTER SOLAR ATAS HOP,,,,
68,11,FILTER SOLAR ATAS TRTN FC1805,,,,
69,11,FILTER SOLAR BAWAH CNTR F1008,,,,
70,11,FILTER SOLAR BAWAH HOP,,,,
71,11,FILTER SOLAR BAWAH TRTN F1805,,,,
72,11,FILTER SOLAR L300,,,,
73,11,FILTER UDARA CNTR,,,,
74,11,FILTER UDARA L300,,,,
75,10,FITTING / PAK DOP,,,,
76,10,FITTING EPC.08-01,,,,
77,10,FITTING EPC.08-02,,,,
78,7,FLASHER 24V CNTR,,,,
79,7,FLASHER LOHAN,,,,
80,4,FORK / GARBU KOPLING L300,,,,
81,6,GAGANG SPION CNTR,,,,
82,6,GAGANG SPION TRTN,,,,
83,4,GEAR SET CNTR,,,,
84,6,GEMBOK,,,,
85,10,GIGI DEPAN AS KRUK TRTN PF6,,,,
86,7,GPS ARMADA BULANAN,,,,
87,7,GPS TRACKER ARMADA,,,,
88,2,HAND PUMP MANUAL,,,,
89,6,HANDLE PINTU LUAR TRTN,,,,
90,5,HANGER PER DEPAN F/F RH TRTN,,,,
91,5,HOLD STOPPER / PANGKON CABIN BLKNG TRTN,,,,
92,7,IC DINAMO AMPERE + ANGKER TRTN,,,,
93,7,ISOLASI LISTRIK HITAM,,,,
94,7,ISOLASI LISTRIK HITAM NTL,,,,
95,7,KABEL PARALEL ACCU,,,,
96,7,KABEL TIES TANGGUNG /PAK,,,,
97,7,KABEL WARNA 1.25MM /ROLL,,,,
98,6,KACA FILM MOBIL,,,,
99,10,KAIN MAJUN / KG,,,,
100,5,KAMPAS HAND REM NISSAN TRTN,,,,
101,5,KAMPAS KOPLING L300,,,,
102,5,KAMPAS KOPLING MD724119 L300,,,,
103,5,"KAMPAS KOPLING TRTN 15""",,,,
104,5,KAMPAS REM BELAKANG CNTR,,,,
105,5,KAMPAS REM BELAKANG GRDMX,,,,
106,5,KAMPAS REM TRTN,,,,
107,5,KARET BOSTER REM TRTN,,,,
108,5,KARET KOPEL / CENTER BEARING CNTR,,,,
109,5,KARET REM CNTR,,,,
110,5,KARET REM SAIKEN TRTN 80133,,,,
111,5,KARET REM TRTN,,,,
112,5,KARET SHOCK REM CNTR,,,,
113,5,KARET STABIL DING DONG TRTN,,,,
114,5,KARET STOPER  GRDMX,,,,
115,5,KARET STOPER DEPAN L300,,,,
116,5,KAWALAN TRUCK CNTR,,,,
117,5,KAWALAN TRUCK TRTN,,,,
118,5,KAWAT SELING HAND REM CNTR,,,,
119,5,KEEP REM RODA DEPAN CNTR,,,,
120,7,KLAKSON 24V CNTR,,,,
121,7,KLAKSON TM 24V CNTR,,,,
122,5,KLEM ACCU BESAR,,,,
123,5,"KLEM SELANG 6""",,,,
124,5,KLIP / KANCING LAKER TRTN,,,,
125,2,KUAS,,,,
126,2,"KUAS 2 1/2""",,,,
127,2,KUNCI DUPLIKAT CNTR,,,,
128,2,KUNCI DUPLIKAT TRTN,,,,
129,2,KUNCI L BINTANG,,,,
