id_stokin,id_produk,stokin_kuantitas,stokin_spesifikasi,stokin_nopomo,stokin_digunakan,stokin_harga_produk,stokin_harga_total,stokin_tanggal
1,163,20,CETAKAN,UMM.25.01.028,SYSTEM,12000,240000,2025-01-07
2,10,12,BINDER CLIP,UMM.25.01.049,SYSTEM,2700,32400,2025-01-14
3,11,12,BINDER CLIP,UMM.25.01.049,SYSTEM,3850,46200,2025-01-14
4,14,12,BINDER CLIP,UMM.25.01.049,SYSTEM,12100,145200,2025-01-14
5,16,144,BALLPOINT & STIPO,UMM.25.01.049,SYSTEM,1750,252000,2025-01-14
6,27,1,CONTINOUS FORM,UMM.25.01.049,SYSTEM,513000,513000,2025-01-14
7,28,6,CONTINOUS FORM,UMM.25.01.049,SYSTEM,366000,2196000,2025-01-14
8,33,12,CUTTER & ISI,UMM.25.01.049,SYSTEM,2980,35760,2025-01-14
9,35,15,KERTAS HVS,UMM.25.01.049,SYSTEM,44850,672750,2025-01-14
10,36,30,KERTAS HVS,UMM.25.01.049,SYSTEM,51500,1545000,2025-01-14
11,54,5,PAPER CLIPS & FASTENER,UMM.25.01.049,SYSTEM,9200,46000,2025-01-14
12,58,12,SPIDOL & REFILL INK,UMM.25.01.049,SYSTEM,10100,121200,2025-01-14
13,82,200,STAPLER & ISI,UMM.25.01.049,,2887.5,577500,2025-01-14
14,112,10,UNSTOCK,UMM.25.01.049,SYSTEM,3850,38500,2025-01-14
15,116,12,UNSTOCK,UMM.25.01.049,SYSTEM,3437.5,41250,2025-01-14
16,133,10,UNSTOCK,UMM.25.01.049,SYSTEM,3750,37500,2025-01-14
17,120,2,UNSTOCK,UMM.25.01.049,SYSTEM,38500,77000,2025-01-14
18,89,5,CARTRIDGE,UMM.25.01.049,SYSTEM,76500,382500,2025-01-16
19,95,2,TINTA PRINTER,UMM.25.01.049,SYSTEM,98500,197000,2025-01-16
20,96,2,TINTA PRINTER,UMM.25.01.049,SYSTEM,98500,197000,2025-01-16
21,97,2,TINTA PRINTER,UMM.25.01.049,SYSTEM,98500,197000,2025-01-16
22,159,50,CETAKAN,UMM.25.01.047,SYSTEM,30000,1500000,2025-01-18
23,150,60,CETAKAN,UMM.25.01.056,SYSTEM,6000,360000,2025-01-23
24,130,250,UNSTOCK,UMM.25.01.059,SYSTEM,10000,2500000,2025-01-23
25,42,15,LAKBAN,UMM.25.01.061,SYSTEM,900000,13500000,2025-01-24
26,43,15,LAKBAN,UMM.25.01.061,SYSTEM,900000,13500000,2025-01-24
27,41,10,LAKBAN,UMM.25.02.020,SYSTEM,622800,6228000,2025-01-25
28,142,90,CETAKAN,UMM.25.03.037,SYSTEM,27500,2475000,2025-01-25
29,145,60,CETAKAN,UMM.25.03.038,SYSTEM,40000,2400000,2025-02-10
30,150,120,CETAKAN,UMM.25.02.054,SYSTEM,6000,720000,2025-02-12
31,2,5,AMPLOP,UMM.25.02.064,SYSTEM,36000,180000,2025-02-12
32,10,12,BINDER CLIP,UMM.25.02.064,SYSTEM,2700,32400,2025-02-12
33,36,60,KERTAS HVS,UMM.25.02.064,SYSTEM,51500,3090000,2025-02-12
34,79,3,STABILO,UMM.25.02.064,SYSTEM,6750,20250,2025-02-12
35,115,3,UNSTOCK,UMM.25.02.064,SYSTEM,8000,24000,2025-02-12
36,134,3,UNSTOCK,UMM.25.02.064,SYSTEM,5875,17625,2025-02-12
37,159,70,CETAKAN,UMM.25.02.057,SYSTEM,30000,2100000,2025-02-13
38,18,3,BALLPOINT & STIPO,UMM.25.02.064,SYSTEM,6600,19800,2025-02-14
39,86,4,CARTRIDGE,UMM.25.02.064,SYSTEM,190000,760000,2025-02-14
40,88,1,CARTRIDGE,UMM.25.02.064,SYSTEM,60500,60500,2025-02-14
41,89,6,CARTRIDGE,UMM.25.02.064,SYSTEM,76500,459000,2025-02-14
42,94,1,TINTA PRINTER,UMM.25.02.064,SYSTEM,98500,98500,2025-02-14
43,95,2,TINTA PRINTER,UMM.25.02.064,SYSTEM,98500,197000,2025-02-14
44,96,1,TINTA PRINTER,UMM.25.02.064,SYSTEM,98500,98500,2025-02-14
45,97,1,TINTA PRINTER,UMM.25.02.064,SYSTEM,98500,98500,2025-02-14
46,159,60,CETAKAN,UMM.25.02.068,SYSTEM,30000,1800000,2025-02-20
47,10,12,BINDER CLIP,UMM.25.03.014,SYSTEM,2700,32400,2025-02-25
48,11,12,BINDER CLIP,UMM.25.03.014,SYSTEM,3850,46200,2025-02-25
49,13,24,BINDER CLIP,UMM.25.03.014,SYSTEM,8750,210000,2025-02-25
50,28,6,CONTINOUS FORM,UMM.25.03.014,SYSTEM,366000,2196000,2025-02-25
51,36,30,KERTAS HVS,UMM.25.03.014,SYSTEM,51500,1545000,2025-02-25
52,89,10,CARTRIDGE,UMM.25.03.014,SYSTEM,76500,765000,2025-02-27
53,37,30,LABEL THERMAL,UMM.25.02.081,SYSTEM,170000,5100000,2025-02-27
54,145,60,CETAKAN,UMM.25.03.038,SYSTEM,40000,2400000,2025-02-28
55,43,5,LAKBAN,UMM.25.03.008,SYSTEM,900000,4500000,2025-02-28
56,42,12,LAKBAN,UMM.25.03.025,SYSTEM,900000,10800000,2025-03-05
57,43,15,LAKBAN,UMM.25.03.027,SYSTEM,900000,13500000,2025-03-05
58,42,5,LAKBAN,UMM.25.03.026,SYSTEM,900000,4500000,2025-03-05
59,43,2,LAKBAN,UMM.25.03.028,SYSTEM,900000,1800000,2025-03-05
60,118,50,UNSTOCK,UMM.25.02.080,SYSTEM,12000,600000,2025-03-05
61,159,30,CETAKAN,UMM.25.03.039,SYSTEM,30000,900000,2025-03-08
62,142,60,CETAKAN,UMM.25.03.037,SYSTEM,27500,1650000,2025-03-08
63,159,37,CETAKAN,UMM.25.03.050,SYSTEM,30000,1110000,2025-03-12
64,142,60,CETAKAN,UMM.25.03.049,SYSTEM,27500,1650000,2025-03-12
65,163,40,CETAKAN,UMM.25.03.080,SYSTEM,12000,480000,2025-03-17
66,72,10,TINTA KARUNG,UMM.25.03.065,SYSTEM,20000,200000,2025-03-17
67,163,20,CETAKAN,UMM.25.03.066,SYSTEM,12000,240000,2025-03-18
68,161,60,CETAKAN,UMM.25.03.069,SYSTEM,19000,1140000,2025-03-20
69,39,30,LABEL THERMAL,UMM.25.03.078,SYSTEM,42500,1275000,2025-03-21
70,150,120,CETAKAN,UMM.25.03.079,SYSTEM,6000,720000,2025-03-24
71,145,120,CETAKAN,UMM 25.04.025,SYSTEM,40000,4800000,2025-03-26
72,36,10,KERTAS HVS,UMM 25.04.035,SYSTEM,51500,515000,2025-03-28
73,28,6,CONTINOUS FORM,UMM 25.04.035,SYSTEM,366000,2196000,2025-04-10
74,36,60,KERTAS HVS,UMM 25.04.035,SYSTEM,51500,3090000,2025-04-10
75,40,10,LABEL THERMAL,UMM 25.04.035,SYSTEM,5750,57500,2025-04-10
76,47,12,MAP,UMM 25.04.035,SYSTEM,2300,27600,2025-04-10
77,77,3,STABILO,UMM 25.04.035,SYSTEM,6750,20250,2025-04-10
78,78,3,STABILO,UMM 25.04.035,SYSTEM,6750,20250,2025-04-10
79,79,3,STABILO,UMM 25.04.035,SYSTEM,6750,20250,2025-04-10
80,80,3,STABILO,UMM 25.04.035,SYSTEM,6750,20250,2025-04-10
81,115,2,UNSTOCK,UMM 25.04.035,SYSTEM,8000,16000,2025-04-10
82,129,24,UNSTOCK,UMM 25.04.035,SYSTEM,10083.33,241999.92,2025-04-10
83,86,2,CARTRIDGE,UMM 25.04.035,SYSTEM,190000,380000,2025-04-16
84,88,1,CARTRIDGE,UMM 25.04.035,SYSTEM,60500,60500,2025-04-16
85,89,5,CARTRIDGE,UMM 25.04.035,SYSTEM,76500,382500,2025-04-16
