id_vendor,nama_vendor,alamat_vendor,kontak_vendor,created_by,updated_by
1,HERU JAYA ACCU,"JL. Sedati, Desa Ketajen Kec Gedangan",085655373177 / 085733152557,SYSTEM,-
2,SURYA KENCANA MOTOR,JL. Raya Gub. Priyo Sunandar 120 Bypass Krian Sidoarjo ,085 237233410,SYSTEM,-
3,BERKAH MOTOR,Pasir Raya Timur 25 Blijon Wedi Gedangan Sidoarjo,083 847533300,SYSTEM,-
4,PUSAKA MOTORS,Jl. Raya A. Yani No. 72 Gedangan Sidoarjo,031-8912254 / 081 23244519,SYSTEM,-
5,SERVICE RADIATOR SABAR,JL. Raya Juanda Lama Dpn. SPBU Primkopal Juanda Sidoarjo,081 217814989,SYSTEM,-
6,UD. HANURA,Jl. Garuda No. 4 Betro Sedati - Sidoarjo,031-8666794 / 081234950000,SYSTEM,-
7,PRIBUMI TEHNIK,JL. Ujung Gebang No. 4 Sukira Indramayu,0234 610248,SYSTEM,-
8,SINAR JAYA,JL. Raya Tropodo No. 67 Waru Sidoarjo,031 8672874 / 085 100986771,SYSTEM,-
9,SUMBER JAYA MOTOR,JL. Setia Budi 75 Denpasar Bali,0361 420287,SYSTEM,-
10,AGAVA AUTOMOTIVE,JL. Satria Kav. C-5 RT.08 RW.04 Betro Sedati Sidoarjo,087 853290707,SYSTEM,-
11,KARYA MANDIRI KAMPAS,JL. Mubarok Dsn. Bungkil Gedangan Sidoarjo,082 264327729,SYSTEM,-
12,PUTRA BANGKIT,Ds. Sambiroto RT. 24 RW. 04 Taman Sidoarjo,085 730223292,SYSTEM,-
13,TAMBAL BAN CAK KIN,Blijon Wedi Gedangan,-,SYSTEM,-
14,PUTRA MANDIRI MOTOR,JL. Raya Dungus No. 29 Sukodono Sidoarjo,031-99782948,SYSTEM,-
15,CV. KAWAN SEJAHTERA SEDAYA,Sapphire Residence Blok 5A No.19 Prasung Buduran Sidoarjo,081 234603810,SYSTEM,-
16,PAK TOHIR TAMBAL BAN,JL. Raya Juanda-Sedati,081 357304770,SYSTEM,-
17,AGUS STYLE BAN,JL. Raya Pabean No. 4 Sedati - Sidoarjo,081 21720764,SYSTEM,-
18,MOBIL BAN,JL. Pregolan No.1 Bluru Kidul Sidoarjo,031 8056952,SYSTEM,-
19,MONO BAN,JL. Raya Kuripan 181,089 669930518,SYSTEM,-
20,TAMBAL BAN BANG KUMIS,Bulusan - Banyuwangi,-,SYSTEM,-
21,NAINGGOLAN TAMBAL BAN,Karawang Timur,-,SYSTEM,-
22,RFA BAN,JL. Raya Tegal - Pemalang (Kedungkelor),085 200181782,SYSTEM,-
23,PT. BAN SENTRA NIAGA,Ruko Pondok Chandra JL. Ralem TE-38 Waru Sidoarjo,031 99041705,SYSTEM,-
24,BANGKIT LAKSANA JAYA BAN,JL. Raya Bambe No.43 Bambe Driyorejo Gresik,081 13469900,SYSTEM,-
25,CV. TIMUR JAYA,-,-,SYSTEM,-
26,TAWANGSARI MOTOR,JL. By Pass Apollo Gempol,085 731800498,SYSTEM,-
27,KECICANG JAYA,Jl. Raya Ngerong Gempol - Pasuruan,081333011041 / 085234421994,SYSTEM,-
28,PUTRA MANDIRI AUTOPARTS,Lingkar Timur Sidoarjo,081 259755689,SYSTEM,-
29,TOKO BESI SUMBER URIP,JL. A. Yani 47 Gedangan,031 8546369,SYSTEM,-
30,SAHABAT TEHNIK,JL. Raya Pilang Wonoayu Sidoarjo,085335356967,SYSTEM,-
31,SARI BUMI,JL. Rajawali No.22A Kepuh Betro Sedati Sidoarjo,085 102256999,SYSTEM,-
32,INDAH BEKLEED,Sedati Agung,081 233173811,SYSTEM,-
33,TUNGGAL JAYA MOTOR,-,-,SYSTEM,-
34,BENGKEL REPARASI MESIN TRI AGUNG TRIONO,"JL. Kusuma Bangsa 28 Belahan, Randubangu, Mojosari Mojokerto",0321 597680 / 081 331514971,SYSTEM,-
35,CV. KAWAN LAMA JAYA,-,-,SYSTEM,-
36,REAL MOTOR SURABAYA,JL. Demak Timur No.06 Gundih Bubutan Surabaya,081 252919014,SYSTEM,-
