id_vendorpart,id_part,id_vendor,harga_part,harga_sebelumnya_part,merk_part,satuan_part
1,1,1,830000,0,ASTRA,-
2,2,1,1100000,0,ASTRA,-
3,3,2,5000,0,-,-
4,3,3,0,0,-,-
5,4,4,55000,0,-,-
6,4,5,50000,0,-,-
7,5,4,0,0,-,-
8,6,6,35000,0,-,-
9,7,7,0,0,-,-
10,7,8,0,0,-,-
11,8,9,40000,0,-,-
12,9,10,210000,0,555,-
13,10,10,285000,0,555,-
14,11,11,0,0,-,-
15,12,12,185000,0,ANGKASA,-
16,13,12,275000,0,ANGKASA,-
17,14,13,0,0,GRAND PRIX,-
18,15,14,0,0,GAJAH TUNGGAL,-
19,16,12,285000,290000,ANGKASA,-
20,17,15,0,0,MILLENIUM,-
21,18,16,0,0,-,-
22,18,17,150000,0,-,-
23,19,18,145000,0,-,-
24,20,13,0,0,-,-
25,20,19,0,0,-,-
26,20,20,0,0,-,-
27,21,13,0,0,-,-
28,21,21,0,0,-,-
29,21,22,0,0,-,-
30,22,23,3610000,0,BRIDGESTONE,-
31,23,18,750000,0,GOOD YEAR,-
32,24,23,1650000,0,BRIDGESTONE,-
33,24,18,0,0,BRIDGESTONE,-
34,25,12,0,0,ANGKASA,-
35,26,18,0,0,SWALLOW,-
36,27,24,925000,0,-,-
37,27,25,900000,0,-,-
38,28,26,0,0,-,-
39,29,2,0,0,-,-
40,30,4,0,0,-,-
41,31,27,0,0,-,-
42,32,14,0,0,-,-
43,33,2,0,0,-,-
44,33,14,60000,0,-,-
45,33,28,60000,0,-,-
46,34,14,75000,0,-,-
47,35,27,5000,0,-,-
48,36,9,85000,0,-,-
49,37,10,380000,0,555,-
50,38,29,0,0,-,-
51,39,27,0,0,-,-
52,40,27,100000,0,-,-
53,41,10,105000,0,-,-
54,42,30,125000,0,-,-
55,43,10,0,0,-,-
56,44,6,0,0,AQUAPROOF,-
57,45,8,0,0,-,-
58,46,31,55000,0,NO DROP,-
59,46,31,65000,0,NO DROP,-
60,47,2,0,0,-,-
